ElementX,Y,Z
Bi,0.000000,0.000000,0.000000
Bi,0.000000,0.000000,13.852900
Bi,-2.786250,4.825927,0.000000
Bi,-2.786250,4.825927,13.852900
Bi,5.572500,0.000000,0.000000
Bi,5.572500,0.000000,13.852900
Bi,2.786250,4.825927,0.000000
Bi,2.786250,4.825927,13.852900
Bi,0.000000,0.000000,6.926450
Bi,-2.786250,4.825927,6.926450
Bi,5.572500,0.000000,6.926450
Bi,2.786250,4.825927,6.926450
Bi,2.786250,1.608642,4.617633
Bi,2.786250,1.608642,11.544083
Bi,0.000000,3.217285,9.235266
Bi,0.000000,3.217285,2.308817
Fe,0.000000,0.000000,3.051794
Fe,-2.786250,4.825927,3.051794
Fe,5.572500,0.000000,3.051794
Fe,2.786250,4.825927,3.051794
Fe,0.000000,0.000000,9.978244
Fe,-2.786250,4.825927,9.978244
Fe,5.572500,0.000000,9.978244
Fe,2.786250,4.825927,9.978244
Fe,2.786250,1.608642,7.669427
Fe,2.786250,1.608642,0.742977
Fe,0.000000,3.217285,12.287060
Fe,0.000000,3.217285,5.360610
O,2.407041,0.107618,0.623380
O,4.275779,2.030750,0.623380
O,1.675929,2.687559,0.623380
O,3.896571,2.687559,7.549830
O,3.165459,0.107618,7.549830
O,1.296721,2.030750,7.549830
O,-0.379209,1.716260,5.241014
O,1.489529,3.639392,5.241014
O,-1.110321,4.296201,5.241014
O,1.110321,4.296201,12.167463
O,0.379209,1.716260,12.167463
O,-1.489529,3.639392,12.167463
O,2.407041,3.324903,9.858647
O,1.489529,0.422108,9.858647
O,4.462180,1.078916,9.858647
O,1.110321,1.078916,2.932197
O,3.165459,3.324903,2.932197
O,4.082971,0.422108,2.932197
O,-1.110321,-2.138368,0.623380
O,-1.675929,-0.529726,-1.685436
O,-1.296721,2.030750,0.623380
O,1.296721,-1.186535,-1.685436
O,0.379209,1.716260,-1.685436
O,-1.110321,-2.138368,14.476280
O,-1.675929,-0.529726,12.167463
O,-1.296721,2.030750,14.476280
O,1.296721,-1.186535,12.167463
O,2.407041,0.107618,14.476280
O,-3.896571,2.687559,0.623380
O,-4.462180,4.296201,-1.685436
O,-4.082971,6.856677,0.623380
O,-1.489529,3.639392,-1.685436
O,-2.407041,6.542187,-1.685436
O,-0.379209,4.933545,0.623380
O,-3.896571,2.687559,14.476280
O,-4.462180,4.296201,12.167463
O,-4.082971,6.856677,14.476280
O,-2.407041,6.542187,12.167463
O,-0.379209,4.933545,14.476280
O,4.462180,-2.138368,0.623380
O,3.896571,-0.529726,-1.685436
O,6.869221,-1.186535,-1.685436
O,5.951709,1.716260,-1.685436
O,7.979542,0.107618,0.623380
O,4.462180,-2.138368,14.476280
O,3.896571,-0.529726,12.167463
O,4.275779,2.030750,14.476280
O,6.869221,-1.186535,12.167463
O,5.951709,1.716260,12.167463
O,7.979542,0.107618,14.476280
O,1.110321,4.296201,-1.685436
O,1.489529,6.856677,0.623380
O,4.082971,3.639392,-1.685436
O,3.165459,6.542187,-1.685436
O,5.193292,4.933545,0.623380
O,1.675929,2.687559,14.476280
O,1.489529,6.856677,14.476280
O,4.082971,3.639392,12.167463
O,3.165459,6.542187,12.167463
O,5.193292,4.933545,14.476280
O,-1.296721,-1.186535,5.241014
O,-2.407041,0.107618,7.549830
O,1.110321,-2.138368,7.549830
O,1.675929,-0.529726,5.241014
O,-4.082971,3.639392,5.241014
O,-5.193292,4.933545,7.549830
O,-1.675929,2.687559,7.549830
O,-3.165459,6.542187,5.241014
O,-1.489529,6.856677,7.549830
O,4.275779,-1.186535,5.241014
O,6.682821,-2.138368,7.549830
O,7.248430,-0.529726,5.241014
O,5.193292,1.716260,5.241014
O,6.869221,2.030750,7.549830
O,0.379209,4.933545,7.549830
O,4.462180,4.296201,5.241014
O,2.407041,6.542187,5.241014
O,4.082971,6.856677,7.549830
O,-1.110321,1.078916,9.858647
O,-1.296721,5.248034,9.858647
O,-2.407041,3.324903,2.932197
O,1.296721,5.248034,2.932197
O,0.379209,-1.501024,2.932197
O,-1.489529,0.422108,2.932197
O,-4.275779,5.248034,2.932197
O,-1.675929,5.904843,2.932197
O,5.951709,-1.501024,2.932197
O,6.682821,1.078916,2.932197
O,3.896571,5.904843,2.932197
O,-0.379209,-1.501024,9.858647
O,-3.165459,3.324903,9.858647
O,-3.896571,5.904843,9.858647
O,5.193292,-1.501024,9.858647
O,7.062030,0.422108,9.858647
O,1.675929,5.904843,9.858647
O,4.275779,5.248034,9.858647
Fe,2.786250,1.608642,14.595877
Fe,0.000000,3.217285,-1.565839
